animal_id,food_preferences,special_day
1,Meat,22-01-2017
2,soybean meal,19-10-2018
3,Meat,30-06-2017
4,Meat,06-03-2018
5,Feed grains,18-03-2018
6,soybean meal,15-04-2017
7,Milk bowl and Biscuits,06-02-2018
8,soybean meal,09-08-2018
9,Meat,01-05-2017
10,Feed grains,24-05-2018
11,Meat,20-06-2018
12,Milk bowl and Biscuits,11-08-2018
13,soybean meal,13-09-2017
14,Meat,17-06-2017
15,Milk bowl and Biscuits,02-12-2016
16,Meat,29-09-2017
17,Feed grains,07-04-2017
18,Milk bowl and Biscuits,21-03-2018
19,Feed grains,13-03-2018
20,Feed grains,21-04-2017
21,Kibble,26-07-2018
22,Meat,29-12-2016
23,soybean meal,14-07-2017
24,Kibble,30-07-2017
25,soybean meal,17-03-2018
26,Beef,14-11-2018
27,Dried Foods,22-01-2018
28,Milk bowl and Biscuits,25-09-2017
29,Milk bowl and Biscuits,17-08-2017
30,Beef,17-09-2018
31,Meat,26-11-2018
32,Meat,19-01-2017
33,Kibble,10-01-2017
34,Beef,11-08-2018
35,Kibble,20-05-2017
36,Dried Foods,07-06-2017
37,Feed grains,28-09-2017
38,Beef,26-11-2017
39,Feed grains,19-09-2017
40,Kibble,28-08-2018
41,Milk bowl and Biscuits,04-12-2017
42,soybean meal,12-11-2017
43,Beef,24-10-2017
44,soybean meal,19-12-2016
45,Meat,27-01-2018
46,Meat,27-05-2017
47,Milk bowl and Biscuits,09-12-2017
48,Dried Foods,16-11-2018
49,Dried Foods,07-03-2017
50,Kibble,09-05-2018
51,Milk bowl and Biscuits,28-09-2018
52,Dried Foods,01-06-2018
53,Kibble,16-05-2017
54,Dried Foods,26-08-2017
55,Milk bowl and Biscuits,02-11-2018
56,Dried Foods,21-06-2018
57,Beef,14-06-2018
58,soybean meal,25-07-2017
59,Milk bowl and Biscuits,04-03-2017
60,Feed grains,08-09-2017
61,soybean meal,19-05-2017
62,Beef,14-09-2018
63,Feed grains,28-04-2017
64,Milk bowl and Biscuits,17-06-2017
65,Dried Foods,21-10-2018
66,Kibble,22-02-2018
67,Beef,17-06-2018
68,Dried Foods,11-11-2018
69,Kibble,05-11-2018
70,Meat,08-07-2017
71,Meat,24-05-2017
72,soybean meal,22-10-2017
73,Kibble,26-04-2018
74,Dried Foods,29-05-2018
75,Feed grains,10-05-2018
76,Feed grains,12-10-2018
77,Dried Foods,05-10-2018
78,Beef,22-03-2018
79,Meat,07-08-2018
80,Dried Foods,21-01-2017
81,Dried Foods,26-07-2018
82,Dried Foods,23-07-2017
83,soybean meal,25-07-2018
84,soybean meal,14-02-2018
85,Dried Foods,09-04-2017
86,Meat,24-07-2017
87,Milk bowl and Biscuits,23-02-2018
88,Dried Foods,07-01-2017
89,Dried Foods,16-06-2018
90,Beef,29-07-2018
91,Beef,22-06-2017
92,Meat,21-11-2017
93,Milk bowl and Biscuits,06-09-2018
94,Kibble,08-12-2016
95,soybean meal,29-08-2017
96,Feed grains,02-11-2018
97,Kibble,04-06-2017
98,Feed grains,21-05-2017
99,Meat,01-03-2017
100,soybean meal,18-07-2018
